OSM Tags,OSM Values,Constraint Name,Constraint Type
Amenity,Library,Urban Areas,Area
Amenity,Music School,Urban Areas,Area
Amenity,School,Urban Areas,Area
Amenity,University,Urban Areas,Area
Amenity,Bank,Urban Areas,Area
Amenity,Veterinary,Urban Areas,Area
Amenity,Hospital,Urban Areas,Area
Amenity,Cinema,Urban Areas,Area
Amenity,Refugee Site,Settlements,Area
Amenity,place_of_worship,Religious Building Area,Area
Amenity,Clinic,Urban Areas,Area
Amenity,Post Office,Urban Areas,Area
Amenity,Public Buildings,Urban Areas,Area
Amenity,Bus Station,Urban Areas,Area
Amenity,Dentist,Urban Areas,Area
Amenity,Fuel,Urban Areas,Area
Amenity,Pharmacy,Urban Areas,Area
Amenity,Social Facility,Urban Areas,Area
Amenity,Arts Centre,Settlements,Area
Amenity,Casino,Urban Areas,Area
Amenity,Community Centre,Settlements,Area
Amenity,Conference Centre,Urban Areas,Area
Amenity,Events Venue,Urban Areas,Area
Amenity,Fountain,IGNORE,Area
Amenity,Nightclub,Urban Areas,Area
Amenity,Planetarium,Urban Areas,Area
Amenity,Social Centre,Settlements,Area
Amenity,Studio,Settlements,Area
Amenity,Theatre,Settlements,Area
Amenity,Courthouse,Settlements,Area
Amenity,Police,Urban Areas,Area
Amenity,Post Box,Settlements,Area
Amenity,Post Depot,Settlements,Area
Amenity,Townhall,Settlements,Area
Amenity,Shelter,Settlements,Area
Amenity,Recycling,Settlements,Area
Amenity,Animal Boarding,IGNORE,Area
Amenity,Animal Breeding,IGNORE,Area
Amenity,Animal Shelter,Settlements,Area
Amenity,Childcare,Settlements,Area
Amenity,Crematorium,Building Area,Area
Amenity,Dive Centre,IGNORE,Area
Amenity,Funeral Hall,Settlements,Area
Amenity,Internet Cafe,Settlements,Area
Amenity,Kitchen,Settlements,Area
Amenity,Marketplace,Settlements,Area
Buildings,Residential,Settlements,Area
Buildings,Yes,Settlements,Area
Buildings,Bungalow,Settlements,Area
Buildings,Cabin,Settlements,Area
Buildings,Apartment,Settlements,Area
Buildings,Hospital,Urban Areas,Area
Buildings,Dormitory,Settlements,Area
Buildings,Farm,Settlements,Area
Buildings,Hotel,Settlements,Area
Buildings,House,Settlements,Area
Buildings,Houseboat,Settlements,Area
Buildings,Terrace,Settlements,Area
Buildings,Kiosk,Settlements,Area
Buildings,Office,Urban Areas,Area
Buildings,Retail,Settlements,Area
Buildings,Supermarket,Urban Areas,Area
Buildings,Warehouse,Settlements,Area
Buildings,cathedral,Religious Building Area,Area
Buildings,chapel,Religious Building Area,Area
Buildings,church,Religious Building Area,Area
Buildings,kingdom_hall,Cultural Sites,Area
Buildings,Monastery,Religious Building Area,Area
Buildings,mosque,Religious Building Area,Area
Buildings,presbytery,Religious Building Area,Area
Buildings,religious,Religious Building Area,Area
Buildings,shrine,Religious Building Area,Area
Buildings,synagogue,Religious Building Area,Area
Buildings,temple,Religious Building Area,Area
Buildings,Bridge,IGNORE,Area
Buildings,Military,Military,Area
Buildings,Roof,Settlements,Area
Buildings,School,Urban Areas,Area
Buildings,Apartment,Settlements,Area
Buildings,Public,Settlements,Area
Buildings,Commercial,Settlements,Area
Buildings,Roof,Settlements,Area
Buildings,Industrial,Settlements,Area
Office,Government,Urban Areas,Area
