OSM Tags,OSM Values,Constraint Type,Constraint Name
Amenity,Recycling,Area,Commercial
Amenity,Animal Boarding,Area,Animal Keeping
Amenity,Animal Breeding,Area,Animal Keeping
Amenity,Animal Shelter,Area,Animal Keeping
Amenity,Childcare,Area,Social Facility
Amenity,Crematorium,Area,Crematorium
Amenity,Dive Centre,Area,IGNORE
Amenity,Funeral Hall,Area,Urban Area
Amenity,Internet Cafe,Area,Commercial
Amenity,Kitchen,Area,Commercial
Amenity,Marketplace,Area,Commercial
Buildings,Residential,Area,Residential
Buildings,Yes,Area,Urban Area
Buildings,Bungalow,Area,Residential
Buildings,Cabin,Area,Residential
Buildings,Apartment,Area,Residential
Buildings,Hospital,Area,Healthcare Facility
Buildings,Dormitory,Area,Residential
Buildings,Farm,Area,Farmland
Buildings,Hotel,Area,Tourist Accomodation
Buildings,House,Area,Residential
Buildings,Houseboat,Area,Residential
Buildings,Terrace,Area,IGNORE
Buildings,Kiosk,Area,Commercial
Buildings,Office,Area,Commercial
Buildings,Retail,Area,Commercial
Buildings,Supermarket,Area,Commercial
Buildings,Warehouse,Area,Commercial
Buildings,cathedral,Area,Religious Area
Buildings,chapel,Area,Religious Area
Buildings,church,Area,Religious Area
Buildings,kingdom_hall,Area,Religious Area
Buildings,Monastery,Area,Religious Area
Buildings,mosque,Area,Religious Area
Buildings,presbytery,Area,Religious Area
Buildings,religious,Area,Religious Area
Buildings,shrine,Area,Religious Area
Buildings,synagogue,Area,Religious Area
Buildings,temple,Area,Religious Area
Buildings,Bridge,Area,IGNORE
Buildings,Military,Area,Military
Buildings,Roof,Area,IGNORE
Buildings,School,Area,Educational Facility
Buildings,Apartment,Area,Residential
Buildings,Public,Area,Urban Area
Buildings,Commercial,Area,Commercial
Buildings,Roof,Area,IGNORE
Buildings,Industrial,Area,Industrial
Office,Government,Area,Government
Office,Estate Agent,Area,Commercial
Leaftype,Needleleaved,Area,IGNORE
Leaftype,Leafless,Area,IGNORE
Leaftype,Broadleaved,Area,IGNORE
Leaftype,Mixed,Area,IGNORE
Leisure,Playground,Area,Residential
Leisure,Park,Area,Residential
Leisure,Pitch,Area,IGNORE
Leisure,Swimming Pool,Area,IGNORE
Leisure,Stadium,Area,IGNORE
Leisure,adult_gaming_centre,Area,Commercial
Leisure,adult_gaming_centre,Point,Commercial
